epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6239.6,0.96101,0.65697,1.12691,0.96961,0.96527,0.989,0.79291,0.80023,0.39649,0.97736,0.005842,0.005842,0.005842
44,6368.45,0.94959,0.64976,1.12499,0.96551,0.97407,0.99052,0.79896,0.79291,0.3823,0.97326,0.005743,0.005743,0.005743
45,6495.7,0.94038,0.64623,1.12305,0.97239,0.97201,0.99098,0.81321,0.74355,0.3713,0.94474,0.005644,0.005644,0.005644
46,6623.1,0.92824,0.62466,1.11002,0.96001,0.98068,0.99024,0.80803,0.75706,0.37899,0.95296,0.005545,0.005545,0.005545
47,6749.82,0.94595,0.64532,1.12097,0.97099,0.97958,0.99105,0.81373,0.75037,0.36997,0.95342,0.005446,0.005446,0.005446
48,6877,0.93288,0.62967,1.1158,0.96705,0.98033,0.98967,0.8129,0.73694,0.36562,0.94654,0.005347,0.005347,0.005347
49,7004.34,0.93639,0.62453,1.1147,0.97151,0.98185,0.99026,0.80991,0.76795,0.368,0.94881,0.005248,0.005248,0.005248
50,7132.5,0.9192,0.62454,1.1101,0.9771,0.96833,0.99059,0.81633,0.73668,0.35763,0.94376,0.005149,0.005149,0.005149
51,7260.06,0.9215,0.61644,1.09997,0.96745,0.98033,0.99095,0.8219,0.75445,0.35482,0.94437,0.00505,0.00505,0.00505
52,7387.89,0.91746,0.61477,1.09846,0.97142,0.97703,0.98908,0.81259,0.73862,0.35834,0.94517,0.004951,0.004951,0.004951
53,7515.07,0.92194,0.61199,1.10136,0.9694,0.97655,0.98986,0.81169,0.73273,0.3549,0.93483,0.004852,0.004852,0.004852
54,7642.56,0.90736,0.60616,1.09856,0.97288,0.97706,0.99106,0.82531,0.70857,0.34453,0.92639,0.004753,0.004753,0.004753
55,7769.79,0.89475,0.58762,1.08877,0.97981,0.96747,0.99087,0.82877,0.70345,0.34747,0.92489,0.004654,0.004654,0.004654
56,7896.76,0.90006,0.59336,1.09284,0.96821,0.98487,0.9908,0.82679,0.70241,0.34618,0.92678,0.004555,0.004555,0.004555
57,8024.12,0.89753,0.58161,1.09174,0.97004,0.97806,0.99093,0.82383,0.7221,0.34524,0.93327,0.004456,0.004456,0.004456
58,8151.2,0.8793,0.58404,1.08127,0.97235,0.98419,0.99146,0.83137,0.70752,0.33488,0.92484,0.004357,0.004357,0.004357
59,8278.16,0.88737,0.5838,1.08531,0.97942,0.97731,0.99177,0.8257,0.70028,0.33968,0.92298,0.004258,0.004258,0.004258
60,8404.95,0.88429,0.57276,1.08125,0.96808,0.98185,0.99165,0.83462,0.69387,0.33398,0.92045,0.004159,0.004159,0.004159
61,8532.05,0.88113,0.57269,1.08181,0.96815,0.98882,0.9913,0.8298,0.70416,0.33386,0.92401,0.00406,0.00406,0.00406
62,8659.79,0.8758,0.56771,1.07445,0.96949,0.98543,0.99259,0.83323,0.71059,0.33226,0.92273,0.003961,0.003961,0.003961
63,8786.64,0.86614,0.5626,1.07151,0.97579,0.97581,0.99036,0.8312,0.7069,0.33591,0.91756,0.003862,0.003862,0.003862
64,8913.59,0.86652,0.56106,1.07871,0.97384,0.98561,0.99222,0.83962,0.68268,0.32292,0.91779,0.003763,0.003763,0.003763
